CODICE STS,DESCRIZIONE STS,CODICE CATALOGO,DESCRZIONE CATALOGO,GG ATTESA MEDI,MESE,ANNO
000256,VERBANIA,45.42,Polipectomia endoscopica intestino crasso,259,3,2024
000256,VERBANIA,45.42,Polipectomia endoscopica intestino crasso,242,4,2024
000256,VERBANIA,45.42,Polipectomia endoscopica intestino crasso,226,5,2024
000256,VERBANIA,45.42,Polipectomia endoscopica intestino crasso,379,6,2024
000256,VERBANIA,45.42,Polipectomia endoscopica intestino crasso,12,7,2024
000256,VERBANIA,45.42,Polipectomia endoscopica intestino crasso,210,8,2024
000256,VERBANIA,45.42,Polipectomia endoscopica intestino crasso,127,9,2024
000256,VERBANIA,87.37.1,Mammografia bilaterale, in 2 proiezioni,79,1,2024
000256,VERBANIA,87.37.1,Mammografia bilaterale, in 2 proiezioni,94,2,2024
000256,VERBANIA,87.37.1,Mammografia bilaterale, in 2 proiezioni,79,3,2024
000256,VERBANIA,87.37.1,Mammografia bilaterale, in 2 proiezioni,73,4,2024
000256,VERBANIA,87.37.1,Mammografia bilaterale, in 2 proiezioni,129,5,2024
000256,VERBANIA,87.37.1,Mammografia bilaterale, in 2 proiezioni,136,6,2024
000256,VERBANIA,87.37.1,Mammografia bilaterale, in 2 proiezioni,129,7,2024
000256,VERBANIA,87.37.1,Mammografia bilaterale, in 2 proiezioni,157,8,2024
000256,VERBANIA,87.37.1,Mammografia bilaterale, in 2 proiezioni,150,9,2024
000256,VERBANIA,87.37.2,Mammografia monolaterale, in 2 proiezioni,79,1,2024
000256,VERBANIA,87.37.2,Mammografia monolaterale, in 2 proiezioni,94,2,2024
000256,VERBANIA,87.37.2,Mammografia monolaterale, in 2 proiezioni,79,3,2024
000256,VERBANIA,87.37.2,Mammografia monolaterale, in 2 proiezioni,73,4,2024
000256,VERBANIA,87.37.2,Mammografia monolaterale, in 2 proiezioni,129,5,2024
000256,VERBANIA,87.37.2,Mammografia monolaterale, in 2 proiezioni,136,6,2024
000256,VERBANIA,87.37.2,Mammografia monolaterale, in 2 proiezioni,129,7,2024
000256,VERBANIA,87.37.2,Mammografia monolaterale, in 2 proiezioni,157,8,2024
000256,VERBANIA,87.37.2,Mammografia monolaterale, in 2 proiezioni,150,9,2024
000256,VERBANIA,87.41.1,Tac del torace, senza e con contrasto,206,1,2024
000256,VERBANIA,87.41.1,Tac del torace, senza e con contrasto,217,2,2024
000256,VERBANIA,87.41.1,Tac del torace, senza e con contrasto,233,3,2024
000256,VERBANIA,87.41.1,Tac del torace, senza e con contrasto,225,4,2024
000256,VERBANIA,87.41.1,Tac del torace, senza e con contrasto,227,5,2024
000256,VERBANIA,87.41.1,Tac del torace, senza e con contrasto,231,6,2024
000256,VERBANIA,87.41.1,Tac del torace, senza e con contrasto,245,7,2024
000256,VERBANIA,87.41.1,Tac del torace, senza e con contrasto,239,8,2024
000256,VERBANIA,87.41.1,Tac del torace, senza e con contrasto,234,9,2024
000256,VERBANIA,8703.0,Tac della sella turcica e orbite,206,1,2024
000256,VERBANIA,8703.0,Tac della sella turcica e orbite,217,2,2024
000256,VERBANIA,8703.0,Tac della sella turcica e orbite,237,3,2024
000256,VERBANIA,8703.0,Tac della sella turcica e orbite,226,4,2024
000256,VERBANIA,8703.0,Tac della sella turcica e orbite,231,5,2024
000256,VERBANIA,8703.0,Tac della sella turcica e orbite,231,6,2024
000256,VERBANIA,8703.0,Tac della sella turcica e orbite,245,7,2024
000256,VERBANIA,8703.0,Tac della sella turcica e orbite,240,8,2024
000256,VERBANIA,8703.0,Tac della sella turcica e orbite,238,9,2024
000256,VERBANIA,8703.1,Tac del cranio,147,1,2024
000256,VERBANIA,8703.1,Tac del cranio,130,2,2024
000256,VERBANIA,8703.1,Tac del cranio,146,3,2024
000256,VERBANIA,8703.1,Tac del cranio,119,4,2024
