ASL,ANNO,SETTIMANA_INDICE,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,PRENOTAZIONI,PRENOTAZIONI_DAGARANTIRE,PRENOTAZIONI_DAGARANTIRE_B,PRENOTAZIONI_DAGARANTIRE_B_TMAX,PRENOTAZIONI_DAGARANTIRE_D,PRENOTAZIONI_DAGARANTIRE_D_TMAX,PRENOTAZIONI_DAGARANTIRE_P,PRENOTAZIONI_DAGARANTIRE_P_TMAX
160114,2021,12-16 LUGLIO 2021,42,"Eco (color) dopplergrafia dei tronchi sovra aortici",88.73.5,887,817,208,26,282,164,310,270
160114,2021,12-16 LUGLIO 2021,43,"Ecografia dell'addome superiore",88.74.1,902,750,179,54,200,155,346,325
160114,2021,12-16 LUGLIO 2021,44,"Ecografia dell'addome inferiore",88.75.1,426,348,106,16,80,62,153,149
160114,2021,12-16 LUGLIO 2021,45,"Ecografia dell'addome completo",88.76.1,1871,1573,417,121,447,327,652,620
160114,2021,12-16 LUGLIO 2021,46,"Ecografia bilaterale della mammella",88.73.1,1821,1554,162,67,342,310,989,925
160114,2021,12-16 LUGLIO 2021,47,"Ecografia monolaterale della mammella",88.73.2,14,11,3,,3,3,4,3
160114,2021,12-16 LUGLIO 2021,48,"Ecografia ostetrica",88.78,284,242,26,10,43,38,169,168
160114,2021,12-16 LUGLIO 2021,49,"Ecografia ginecologica",88.78.2,120,102,34,9,34,18,31,29
160114,2021,12-16 LUGLIO 2021,50,"Ecocolor doppler degli arti inferiori arterioso e/o venoso",88.77.2,610,591,181,48,176,114,186,158
160114,2021,12-16 LUGLIO 2021,51,"Colonscopia totale con endoscopio flessibile",45.23,479,410,122,44,117,54,151,78
160114,2021,12-16 LUGLIO 2021,52,"Polipectomia dell'intestino crasso in corso di endoscopia sede unica",45.42,,,,,,,,
160114,2021,12-16 LUGLIO 2021,53,"Rettosigmoidoscopia con endoscopio flessibile",45.24,4,4,2,2,,,2,2
160114,2021,12-16 LUGLIO 2021,54,"Esofagogastroduodenoscopia",45.13,366,339,115,33,102,30,90,83
160114,2021,12-16 LUGLIO 2021,55,"Esofagogastroduodenoscopia con biopsia in sede unica",45.16,286,257,114,49,59,39,67,63
160114,2021,12-16 LUGLIO 2021,56,"Elettrocardiogramma",89.52,3138,2467,769,261,705,354,869,840
160114,2021,12-16 LUGLIO 2021,57,"Elettrocardiogramma dinamico (Holter)",89.50,646,569,180,28,150,42,219,207
160114,2021,12-16 LUGLIO 2021,58,"Test cardiovascolare da sforzo con cicloergometro o con pedana mobile",89.41 - 89.43,172,165,52,12,46,16,59,55
160114,2021,12-16 LUGLIO 2021,59,"Altri test cardiovascolari da sforzo",89.44,,,,,,,,
160114,2021,12-16 LUGLIO 2021,60,"Esame audiometrico tonale",95.41.1,934,722,163,44,189,161,356,356
160114,2021,12-16 LUGLIO 2021,61,"Spirometria semplice",89.37.1,479,431,111,40,89,20,220,219
160114,2021,12-16 LUGLIO 2021,62,"Spirometria globale",89.37.2,175,166,52,9,53,12,51,50
160114,2021,12-16 LUGLIO 2021,63,"Fotografia del fundus",95.11,1,1,1,,,,,
160114,2021,12-16 LUGLIO 2021,64,"ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO SUPERIORE. Analisi qualitativa fino a 6 muscoli. Non associabile a 93.09.1 e 93.09.2",93.08.1,332,302,60,14,105,70,128,122
160114,2021,12-16 LUGLIO 2021,65,"ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO INFERIORE fino a 4 muscoli. Analisi qualitativa. Non associabile a 93.09.1 e 93.09.2",93.08.1,269,247,68,18,70,53,101,98
160114,2021,12-16 LUGLIO 2021,66 - 67,"ELETTROMIOGRAFIA SEMPLICE [EMG] DEL CAPO fino a 4 muscoli. Analisi qualitativa. Escluso: EMG dell'occhio (95.25) e POLISONNOGRAFIA (89.17)",93.08.1,90,85,24,6,24,15,37,37
160114,2021,12-16 LUGLIO 2021,,"ELETTROMIOGRAFIA SEMPLICE [EMG] DEL TRONCO. Analisi qualitativa. Fino a 4 muscoli",,,,,,,,,
160114,2021,12-16 LUGLIO 2021,68,"VALUTAZIONE EMG DINAMICA DEL CAMMINO. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli), associato ad esame basografico per la definizione delle fasi del passo. Non associabile a ANALISI DELLA CINEMATICA E DELLA DINAMICA DEL PASSO (93.05.7)",93.08.1,,,,,,,,
160114,2021,12-16 LUGLIO 2021,69,"EMG DINAMICA DELL'ARTO SUPERIORE. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli)",93.08.1,,,,,,,,
160113,2021,12-16 LUGLIO 2021,1,"Prima Visita cardiologica",89.7,240,207,81,6,78,12,44,37
160113,2021,12-16 LUGLIO 2021,2,"Prima Visita chirurgia vascolare",89.7,18,17,6,,7,1,2,2
160113,2021,12-16 LUGLIO 2021,3,"Prima Visita endocrinologica",89.7,108,98,34,4,39,,19,6
160113,2021,12-16 LUGLIO 2021,4,"Prima Visita neurologica",89.13,132,120,42,8,44,11,28,28
160113,2021,12-16 LUGLIO 2021,5,"Prima Visita oculistica",95.02,177,169,41,8,63,9,57,2
160113,2021,12-16 LUGLIO 2021,6,"Prima Visita ortopedica",89.7,156,144,55,6,57,6,30,8
160113,2021,12-16 LUGLIO 2021,7,"Prima Visita ginecologica",89.26,51,43,17,3,20,5,4,4
160113,2021,12-16 LUGLIO 2021,8,"Prima Visita otorinolaringoiatrica",89.7,163,153,57,6,49,8,43,43
160113,2021,12-16 LUGLIO 2021,9,"Prima Visita urologica",89.7,35,30,9,1,14,6,5,
160113,2021,12-16 LUGLIO 2021,10,"Prima Visita dermatologica",89.7,237,189,61,12,57,57,70,70
160113,2021,12-16 LUGLIO 2021,11,"Prima Visita fisiatrica",89.7,230,165,33,31,53,53,77,77
160113,2021,12-16 LUGLIO 2021,12,"Prima Visita gastroenterologica",89.7,44,41,20,1,12,,4,4
160113,2021,12-16 LUGLIO 2021,13,"Prima Visita oncologica",89.7,19,11,4,3,,,2,2
160113,2021,12-16 LUGLIO 2021,14,"Prima Visita pneumologica",89.7,98,79,25,3,36,3,18,18
160113,2021,12-16 LUGLIO 2021,15,"Mammografia bilaterale",87.37.1,43,38,15,3,18,7,4,4
160113,2021,12-16 LUGLIO 2021,16,"Mammografia monolaterale",87.37.2,3,3,1,,,,1,1
160113,2021,12-16 LUGLIO 2021,17,"TC del Torace",87.41,37,33,11,2,10,1,10,4
160113,2021,12-16 LUGLIO 2021,18,"TC del Torace senza e con MDC",87.41.1,46,45,17,1,7,,16,
160113,2021,12-16 LUGLIO 2021,19,"TC dell'addome superiore",88.01.1,,,,,,,,
160113,2021,12-16 LUGLIO 2021,20,"TC dell'addome superiore senza e con MDC",88.01.2,7,6,3,1,2,,1,
160113,2021,12-16 LUGLIO 2021,21,"TC dell'addome inferiore",88.01.3,,,,,,,,
160113,2021,12-16 LUGLIO 2021,22,"TC dell'addome inferiore senza e con MDC",88.01.4,6,5,3,1,2,,,
160113,2021,12-16 LUGLIO 2021,23,"TC dell'addome completo",88.01.5,6,6,5,,,,1,
160113,2021,12-16 LUGLIO 2021,24,"TC dell'addome completo senza e con MDC",88.01.6,54,52,18,1,9,1,18,
160113,2021,12-16 LUGLIO 2021,25,"TC Cranio - encefalo",87.03,26,26,9,,11,1,5,
160113,2021,12-16 LUGLIO 2021,26,"TC Cranio - encefalo senza e con MDC",87.03.1,13,12,5,,1,,2,
160113,2021,12-16 LUGLIO 2021,27,"TC del rachide e dello speco vertebrale cervicale",88.38.1,11,11,1,1,8,2,2,
160113,2021,12-16 LUGLIO 2021,28,"TC del rachide e dello speco vertebrale toracico",88.38.1,2,2,1,1,1,,,
160113,2021,12-16 LUGLIO 2021,29,"TC del rachide e dello speco vertebrale lombosacrale",88.38.1,6,6,1,1,4,2,1,
160113,2021,12-16 LUGLIO 2021,30,"TC del rachide e dello speco vertebrale cervicale senza e con MDC",88.38.2,1,1,1,,,,,
160113,2021,12-16 LUGLIO 2021,31,"TC del rachide e dello speco vertebrale toracico senza e con MDC",88.38.2,,,,,,,,
160113,2021,12-16 LUGLIO 2021,32,"TC del rachide e dello speco vertebrale lombosacrale senza e con MDC",88.38.2,,,,,,,,
160113,2021,12-16 LUGLIO 2021,33,"TC di Bacino e articolazioni sacroiliache",88.38.5,,,,,,,,
160113,2021,12-16 LUGLIO 2021,34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare",88.91.1,27,27,12,2,12,1,2,
160113,2021,12-16 LUGLIO 2021,35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC",88.91.2,24,24,13,,5,,4,
160113,2021,12-16 LUGLIO 2021,36,"RM di addome inferiore e scavo pelvico",88.95.4,6,6,3,,3,1,,
160113,2021,12-16 LUGLIO 2021,37,"RM di addome inferiore e scavo pelvico senza e con MDC",88.95.5,11,11,5,,4,,1,
160113,2021,12-16 LUGLIO 2021,38,"RM della colonna in toto",88.93,1,1,,,1,,,
160113,2021,12-16 LUGLIO 2021,39,"RM della colonna in toto senza e con MDC",88.93.1,,,,,,,,
160113,2021,12-16 LUGLIO 2021,40,"Diagnostica ecografica del capo e del collo",88.71.4,88,56,20,3,24,13,12,9
160113,2021,12-16 LUGLIO 2021,41,"Eco (color) dopplergrafia cardiaca",88.72.3,35,30,7,,19,,4,4
160113,2021,12-16 LUGLIO 2021,42,"Eco (color) dopplergrafia dei tronchi sovra aortici",88.73.5,44,43,20,2,22,1,1,1
160113,2021,12-16 LUGLIO 2021,43,"Ecografia dell'addome superiore",88.74.1,81,66,17,3,29,26,20,20
160113,2021,12-16 LUGLIO 2021,44,"Ecografia dell'addome inferiore",88.75.1,27,17,4,2,7,2,6,6
160113,2021,12-16 LUGLIO 2021,45,"Ecografia dell'addome completo",88.76.1,147,101,42,6,35,22,22,22
160113,2021,12-16 LUGLIO 2021,46,"Ecografia bilaterale della mammella",88.73.1,49,43,15,1,17,5,10,2
160113,2021,12-16 LUGLIO 2021,47,"Ecografia monolaterale della mammella",88.73.2,5,5,2,,,,1,1
160113,2021,12-16 LUGLIO 2021,48,"Ecografia ostetrica",88.78,33,31,6,5,8,8,17,17
160113,2021,12-16 LUGLIO 2021,49,"Ecografia ginecologica",88.78.2,15,11,5,1,5,2,1,1
160113,2021,12-16 LUGLIO 2021,50,"Ecocolor doppler degli arti inferiori arterioso e/o venoso",88.77.2,49,49,16,4,25,2,3,3
160113,2021,12-16 LUGLIO 2021,51,"Colonscopia totale con endoscopio flessibile",45.23,28,27,16,,2,1,5,5
160113,2021,12-16 LUGLIO 2021,52,"Polipectomia dell'intestino crasso in corso di endoscopia sede unica",45.42,4,4,1,1,,,3,3
160113,2021,12-16 LUGLIO 2021,53,"Rettosigmoidoscopia con endoscopio flessibile",45.24,,,,,,,,
160113,2021,12-16 LUGLIO 2021,54,"Esofagogastroduodenoscopia",45.13,30,30,10,2,16,1,,
160113,2021,12-16 LUGLIO 2021,55,"Esofagogastroduodenoscopia con biopsia in sede unica",45.16,20,19,8,2,10,1,,
160113,2021,12-16 LUGLIO 2021,56,"Elettrocardiogramma",89.52,265,224,86,12,85,24,49,42
160113,2021,12-16 LUGLIO 2021,57,"Elettrocardiogramma dinamico (Holter)",89.50,27,25,7,1,14,2,3,1
160113,2021,12-16 LUGLIO 2021,58,"Test cardiovascolare da sforzo con cicloergometro o con pedana mobile",89.41 - 89.43,6,4,1,,1,1,2,2
160113,2021,12-16 LUGLIO 2021,59,"Altri test cardiovascolari da sforzo",89.44,,,,,,,,
160113,2021,12-16 LUGLIO 2021,60,"Esame audiometrico tonale",95.41.1,61,48,8,7,23,20,16,16
160113,2021,12-16 LUGLIO 2021,61,"Spirometria semplice",89.37.1,59,55,10,2,17,8,27,27
160113,2021,12-16 LUGLIO 2021,62,"Spirometria globale",89.37.2,21,20,3,,10,1,7,5
160113,2021,12-16 LUGLIO 2021,63,"Fotografia del fundus",95.11,,,,,,,,
160113,2021,12-16 LUGLIO 2021,64,"ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO SUPERIORE. Analisi qualitativa fino a 6 muscoli. Non associabile a 93.09.1 e 93.09.2",93.08.1,55,55,17,17,13,13,25,25
160113,2021,12-16 LUGLIO 2021,65,"ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO INFERIORE fino a 4 muscoli. Analisi qualitativa. Non associabile a 93.09.1 e 93.09.2",93.08.1,58,58,21,21,18,18,19,19
160113,2021,12-16 LUGLIO 2021,66 - 67,"ELETTROMIOGRAFIA SEMPLICE [EMG] DEL CAPO fino a 4 muscoli. Analisi qualitativa. Escluso: EMG dell'occhio (95.25) e POLISONNOGRAFIA (89.17)",93.08.1,19,19,2,2,11,11,5,5
160113,2021,12-16 LUGLIO 2021,,"ELETTROMIOGRAFIA SEMPLICE [EMG] DEL TRONCO. Analisi qualitativa. Fino a 4 muscoli",,,,,,,,,
160113,2021,12-16 LUGLIO 2021,68,"VALUTAZIONE EMG DINAMICA DEL CAMMINO. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli), associato ad esame basografico per la definizione delle fasi del passo. Non associabile a ANALISI DELLA CINEMATICA E DELLA DINAMICA DEL PASSO (93.05.7)",93.08.1,,,,,,,,
160113,2021,12-16 LUGLIO 2021,69,"EMG DINAMICA DELL'ARTO SUPERIORE. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli)",93.08.1,,,,,,,,
160106,2021,12-16 LUGLIO 2021,1,"Prima Visita cardiologica",89.7,310,276,40,20,50,15,179,164
160106,2021,12-16 LUGLIO 2021,2,"Prima Visita chirurgia vascolare",89.7,16,16,6,2,4,3,1,1
160106,2021,12-16 LUGLIO 2021,3,"Prima Visita endocrinologica",89.7,76,69,27,15,9,6,31,31
160106,2021,12-16 LUGLIO 2021,4,"Prima Visita neurologica",89.13,94,92,24,6,11,4,53,47
160106,2021,12-16 LUGLIO 2021,5,"Prima Visita oculistica",95.02,145,77,18,4,13,4,44,41
160106,2021,12-16 LUGLIO 2021,6,"Prima Visita ortopedica",89.7,272,259,29,9,42,14,183,181
160106,2021,12-16 LUGLIO 2021,7,"Prima Visita ginecologica",89.26,67,63,6,4,7,4,49,49
160106,2021,12-16 LUGLIO 2021,8,"Prima Visita otorinolaringoiatrica",89.7,190,151,20,13,22,2,107,104
160106,2021,12-16 LUGLIO 2021,9,"Prima Visita urologica",89.7,67,66,13,4,14,2,37,37
160106,2021,12-16 LUGLIO 2021,10,"Prima Visita dermatologica",89.7,99,92,21,6,21,6,47,35
160106,2021,12-16 LUGLIO 2021,11,"Prima Visita fisiatrica",89.7,157,149,22,21,19,19,108,108
160106,2021,12-16 LUGLIO 2021,12,"Prima Visita gastroenterologica",89.7,38,33,7,5,5,2,21,21
160106,2021,12-16 LUGLIO 2021,13,"Prima Visita oncologica",89.7,33,30,8,8,4,4,16,16
160106,2021,12-16 LUGLIO 2021,14,"Prima Visita pneumologica",89.7,76,74,12,3,14,2,47,47
