"ASL","ANNO","SETTIMANA_INDICE","ID_PRESTAZIONE","DESC_PRESTAZIONE","COD_PRESTAZIONE","PRENOTAZIONI","PRENOTAZIONI_DAGARANTIRE","PRENOTAZIONI_DAGARANTIRE_B","PRENOTAZIONI_DAGARANTIRE_B_TMAX","PRENOTAZIONI_DAGARANTIRE_D","PRENOTAZIONI_DAGARANTIRE_D_TMAX","PRENOTAZIONI_DAGARANTIRE_P","PRENOTAZIONI_DAGARANTIRE_P_TMAX"
"160114","2023","09-13 GENNAIO 2023",42,"Eco (color) dopplergrafia dei tronchi sovra aortici","88.73.5",629,524,87,16,196,116,241,156
"160114","2023","09-13 GENNAIO 2023",43,"Ecografia dell’addome superiore","88.74.1",435,371,69,23,136,117,166,149
"160114","2023","09-13 GENNAIO 2023",44,"Ecografia dell’addome inferiore","88.75.1",188,143,43,12,32,21,68,48
"160114","2023","09-13 GENNAIO 2023",45,"Ecografia dell’addome completo","88.76.1",942,775,172,70,225,199,378,286
"160114","2023","09-13 GENNAIO 2023",46,"Ecografia bilaterale della mammella","88.73.1",640,475,73,37,95,61,307,205
"160114","2023","09-13 GENNAIO 2023",47,"Ecografia monolaterale della mammella","88.73.2",5,4,4,1,,,,
"160114","2023","09-13 GENNAIO 2023",48,"Ecografia ostetrica","88.78",135,107,14,7,20,18,73,73
"160114","2023","09-13 GENNAIO 2023",49,"Ecografia ginecologica","88.78.2",70,46,11,3,14,12,21,19
"160114","2023","09-13 GENNAIO 2023",50,"Ecocolor doppler degli arti inferiori arterioso e/o venoso","88.77.2",423,361,112,16,122,95,127,98
"160114","2023","09-13 GENNAIO 2023",51,"Colonscopia totale con endoscopio flessibile","45.23",357,247,59,14,71,42,117,58
"160114","2023","09-13 GENNAIO 2023",52,"Polipectomia dell’intestino crasso in corso di endoscopia sede unica","45.42",,,,,,,,
"160114","2023","09-13 GENNAIO 2023",53,"Rettosigmoidoscopia con endoscopio flessibile","45.24",6,5,,,,,5,5
"160114","2023","09-13 GENNAIO 2023",54,"Esofagogastroduodenoscopia","45.13",235,200,61,17,73,11,66,16
"160114","2023","09-13 GENNAIO 2023",55,"Esofagogastroduodenoscopia con biopsia in sede unica","45.16",136,92,23,4,35,12,34,25
"160114","2023","09-13 GENNAIO 2023",56,"Elettrocardiogramma","89.52",2071,1344,342,141,329,240,673,635
"160114","2023","09-13 GENNAIO 2023",57,"Elettrocardiogramma dinamico (Holter)","89.50",439,363,109,16,88,56,166,157
"160114","2023","09-13 GENNAIO 2023",58,"Test cardiovascolare da sforzo con cicloergometro o con pedana mobile","89.41 - 89.43",166,145,37,2,57,9,51,43
"160114","2023","09-13 GENNAIO 2023",59,"Altri test cardiovascolari da sforzo","89.44",,,,,,,,
"160114","2023","09-13 GENNAIO 2023",60,"Esame audiometrico tonale","95.41.1",465,373,80,20,94,59,199,192
"160114","2023","09-13 GENNAIO 2023",61,"Spirometria semplice","89.37.1",247,199,64,3,65,49,70,70
"160114","2023","09-13 GENNAIO 2023",62,"Spirometria globale","89.37.2",149,128,27,2,52,48,49,45
"160114","2023","09-13 GENNAIO 2023",63,"Fotografia del fundus","95.11",,,,,,,,
"160114","2023","09-13 GENNAIO 2023",64,"ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO SUPERIORE. Analisi qualitativa fino a 6 muscoli. Non associabile a 93.09.1 e 93.09.2","93.08.1",127,117,17,5,40,25,60,43
"160114","2023","09-13 GENNAIO 2023",65,"ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO INFERIORE fino a 4 muscoli. Analisi qualitativa. Non associabile a 93.09.1 e 93.09.2","93.08.1",104,94,19,4,37,17,38,34
"160114","2023","09-13 GENNAIO 2023","66 - 67","ELETTROMIOGRAFIA SEMPLICE [EMG] DEL CAPO fino a 4 muscoli. Analisi qualitativa. Escluso: EMG dell'occhio (95.25) e POLISONNOGRAFIA (89.17)","93.08.1",31,27,3,1,9,7,15,12
"160114","2023","09-13 GENNAIO 2023",,"ELETTROMIOGRAFIA SEMPLICE [EMG] DEL TRONCO. Analisi qualitativa. Fino a 4 muscoli",,,,,,,,,
"160114","2023","09-13 GENNAIO 2023",68,"VALUTAZIONE EMG DINAMICA DEL CAMMINO. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli), associato ad esame basografico per la definizione delle fasi del passo. Non associabile a ANALISI DELLA CINEMATICA E DELLA DINAMICA DEL PASSO (93.05.7)","93.08.1",,,,,,,,
"160114","2023","09-13 GENNAIO 2023",69,"EMG DINAMICA DELL'ARTO SUPERIORE. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli)","93.08.1",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",1,"Prima Visita cardiologica","89.7",328,239,96,11,114,18,29,7
"160113","2023","09-13 GENNAIO 2023",2,"Prima Visita chirurgia vascolare","89.7",22,17,7,1,9,6,1,1
"160113","2023","09-13 GENNAIO 2023",3,"Prima Visita endocrinologica","89.7",160,132,51,5,61,13,20,13
"160113","2023","09-13 GENNAIO 2023",4,"Prima Visita neurologica","89.13",209,116,37,15,39,26,40,40
"160113","2023","09-13 GENNAIO 2023",5,"Prima Visita oculistica","95.02",264,220,65,8,94,22,61,25
"160113","2023","09-13 GENNAIO 2023",6,"Prima Visita ortopedica","89.7",271,215,89,16,103,19,23,23
"160113","2023","09-13 GENNAIO 2023",7,"Prima Visita ginecologica","89.26",115,79,12,7,48,15,19,19
"160113","2023","09-13 GENNAIO 2023",8,"Prima Visita otorinolaringoiatrica","89.7",313,258,95,15,115,18,48,43
"160113","2023","09-13 GENNAIO 2023",9,"Prima Visita urologica","89.7",105,92,46,4,35,6,11,4
"160113","2023","09-13 GENNAIO 2023",10,"Prima Visita dermatologica","89.7",371,253,71,18,97,20,85,80
"160113","2023","09-13 GENNAIO 2023",11,"Prima Visita fisiatrica","89.7",335,190,22,14,49,43,119,119
"160113","2023","09-13 GENNAIO 2023",12,"Prima Visita gastroenterologica","89.7",78,57,34,5,20,7,3,1
"160113","2023","09-13 GENNAIO 2023",13,"Prima Visita oncologica","89.7",31,16,7,7,3,3,6,6
"160113","2023","09-13 GENNAIO 2023",14,"Prima Visita pneumologica","89.7",209,130,43,34,56,53,31,31
"160113","2023","09-13 GENNAIO 2023",15,"Mammografia bilaterale","87.37.1",94,84,20,6,35,13,29,8
"160113","2023","09-13 GENNAIO 2023",16,"Mammografia monolaterale","87.37.2",1,,,,,,,
"160113","2023","09-13 GENNAIO 2023",17,"TC del Torace","87.41",79,58,17,14,20,19,21,21
"160113","2023","09-13 GENNAIO 2023",18,"TC del Torace senza e con MDC","87.41.1",72,54,19,5,23,7,12,5
"160113","2023","09-13 GENNAIO 2023",19,"TC dell’addome superiore","88.01.1",2,2,1,1,1,1,,
"160113","2023","09-13 GENNAIO 2023",20,"TC dell’addome superiore senza e con MDC","88.01.2",5,3,,,,,3,1
"160113","2023","09-13 GENNAIO 2023",21,"TC dell’addome inferiore","88.01.3",2,2,,,1,1,1,1
"160113","2023","09-13 GENNAIO 2023",22,"TC dell’addome inferiore senza e con MDC","88.01.4",6,4,1,,,,3,1
"160113","2023","09-13 GENNAIO 2023",23,"TC dell’addome completo","88.01.5",24,19,10,4,7,7,2,2
"160113","2023","09-13 GENNAIO 2023",24,"TC dell’addome completo senza e con MDC","88.01.6",76,60,25,3,21,2,14,2
"160113","2023","09-13 GENNAIO 2023",25,"TC Cranio - encefalo","87.03",44,40,11,8,21,21,8,8
"160113","2023","09-13 GENNAIO 2023",26,"TC Cranio - encefalo senza e con MDC","87.03.1",24,18,6,3,9,1,3,2
"160113","2023","09-13 GENNAIO 2023",27,"TC del rachide e dello speco vertebrale cervicale","88.38.1",9,7,,,6,6,1,1
"160113","2023","09-13 GENNAIO 2023",28,"TC del rachide e dello speco vertebrale toracico","88.38.1",2,1,,,1,1,,
