REGIONE,ASL,ANNO,PERIODO_DI_RIFERIMENTO,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,EROGAZIONI,EROGAZIONI_DAGARANTIRE,EROGAZIONI_DAGARANTIRE_B,EROGAZIONI_DAGARANTIRE_B_TMAX,EROGAZIONI_DAGARANTIRE_D,EROGAZIONI_DAGARANTIRE_D_TMAX,EROGAZIONI_DAGARANTIRE_P,EROGAZIONI_DAGARANTIRE_P_TMAX
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,30,TC del rachide e dello speco vertebrale cervicale senza e con MDC,88.38.02,6,5,3,3,2,2,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,31,TC del rachide e dello speco vertebrale toracico senza e con MDC,88.38.02,,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,32,TC del rachide e dello speco vertebrale lombosacrale senza e con MDC,88.38.02,,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,33,TC di Bacino e articolazioni sacroiliache,88.38.05,17,4,2,2,1,1,1,1
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare",89.31.01,177,79,16,16,38,38,22,22
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC",89.31.02,332,187,97,76,64,63,24,24
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,36,RM di addome inferiore e scavo pelvico,89.35.04,19,8,4,4,3,3,1,1
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,37,RM di addome inferiore e scavo pelvico senza e con MDC,89.35.05,133,73,30,28,33,29,9,9
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,38,RM della colonna in toto,89.33.00,1209,461,179,152,155,149,122,122
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,39,RM della colonna in toto senza e con MDC,89.33.01,137,60,36,31,13,13,11,11
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,40,Diagnostica ecografica del capo e del collo,89.11.04,915,428,210,113,189,118,28,28
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,41,Eco (color) dopplergrafia cardiaca,89.12.03,379,158,41,23,77,61,40,40
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,42,Eco (color) dopplergrafia dei tronchi sovra aortici,89.13.05,1050,396,151,92,182,121,62,62
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,43,Ecografia dell’addome superiore,89.14.01,592,154,79,60,65,46,10,10
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,44,Ecografia dell’addome inferiore,89.15.01,265,69,32,19,33,21,3,3
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,45,Ecografia dell’addome completo,89.16.01,1669,641,305,230,246,182,84,84
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,46,Ecografia bilaterale della mammella,89.13.01,1137,300,151,128,123,55,25,25
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,47,Ecografia monolaterale della mammella,89.13.02,23,9,7,5,2,2,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,48,Ecografia ostetrica,89.18.00,317,18,12,10,6,6,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,49,Ecografia ginecologica,89.18.02,151,58,13,4,45,25,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,50,Ecocolor doppler degli arti inferiori arterioso e/o venoso,89.17.02,936,409,226,113,145,64,35,35
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,51,Colonscopia totale con endoscopio flessibile,45.23.00,270,144,76,63,68,43,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,52,Polipectomia dell’intestino crasso in corso di endoscopia sede unica,45.42.00,6,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,53,Rettosigmoidoscopia con endoscopio flessibile,45.24.00,11,3,1,,2,1,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,54,Esofagogastroduodenoscopia,45.13.00,349,155,99,36,56,23,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,55,Esofagogastroduodenoscopia con biopsia in sede unica,45.16.00,242,112,73,23,39,20,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,56,Elettrocardiogramma,89.52.00,3299,987,557,245,429,234,1,1
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,57,Elettrocardiogramma dinamico (Holter),89.50.00,746,237,119,25,118,53,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,58,Test cardiovascolare da sforzo con cicloergometro o con pedana mobile,89.41 - 89.43,431,109,46,22,63,34,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,59,Altri test cardiovascolari da sforzo,89.44.00,,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,60,Esame audiometrico tonale,95.41.01,1212,201,73,27,128,87,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,61,Spirometria semplice,89.37.01,730,249,134,55,114,55,1,1
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,62,Spirometria globale,89.37.02,113,32,14,7,18,17,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,63,Fotografia del fundus,95.11.00,8,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,64,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO SUPERIORE. Analisi qualitativa fino a 6 muscoli. Non associabile a 93.09.1 e 93.09.2,93.08.01,3276,1032,416,113,524,338,92,92
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,65,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO INFERIORE fino a 4 muscoli. Analisi qualitativa. Non associabile a 93.09.1 e 93.09.2,93.08.01,,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,66 - 67,ELETTROMIOGRAFIA SEMPLICE [EMG] DEL CAPO fino a 4 muscoli. Analisi qualitativa. Escluso: EMG dell'occhio (95.25) e POLISONNOGRAFIA (89.17),93.08.01,,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,,ELETTROMIOGRAFIA SEMPLICE [EMG] DEL TRONCO. Analisi qualitativa. Fino a 4 muscoli,,,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,68,"VALUTAZIONE EMG DINAMICA DEL CAMMINO. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli), associato ad esame basografico per la definizione delle fasi del passo. Non associabile a ANALISI DELLA CINEMATICA E DELLA DINAMICA DEL PASSO (93.05.7)",93.08.01,,,,,,,,
PUGLIA,BRINDISI - 160106,2024,I TRIMESTRE 2024,69,EMG DINAMICA DELL'ARTO SUPERIORE. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli),93.08.01,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,1,Prima Visita cardiologica,89.7,5434,3021,278,269,164,135,2506,1857
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,2,Prima Visita chirurgia vascolare,89.7,295,161,24,24,25,25,106,84
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,3,Prima Visita endocrinologica,89.7,2444,1580,254,247,112,108,1164,978
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,4,Prima Visita neurologica,89.13.00,3530,2845,251,243,209,185,2353,2208
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,5,Prima Visita oculistica,95.02.00,6362,3028,270,265,206,197,2501,1955
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,6,Prima Visita ortopedica,89.7,2876,1991,204,204,97,97,1667,1513
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,7,Prima Visita ginecologica,89.26.00,2027,1723,98,93,91,87,1516,1449
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,8,Prima Visita otorinolaringoiatrica,89.7,3510,2812,197,195,151,146,2427,2339
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,9,Prima Visita urologica,89.7,2306,1707,210,210,225,225,1244,1052
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,10,Prima Visita dermatologica,89.7,2814,2099,377,377,185,185,1480,1423
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,11,Prima Visita fisiatrica,89.7,3777,3227,206,206,174,174,2838,2718
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,12,Prima Visita gastroenterologica,89.7,788,597,55,55,37,37,479,392
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,13,Prima Visita oncologica,89.7,658,593,113,113,36,36,412,407
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,14,Prima Visita pneumologica,89.7,1577,1111,177,176,137,127,735,642
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,15,Mammografia bilaterale,87.37.01,1867,851,104,101,99,98,630,603
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,16,Mammografia monolaterale,87.37.02,15,7,,,,,7,7
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,17,TC del Torace,87.41.00,482,321,57,53,34,34,215,188
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,18,TC del Torace senza e con MDC,87.41.01,998,602,123,114,69,69,386,340
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,19,TC dell’addome superiore,88.01.01,27,15,1,1,3,3,11,10
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,20,TC dell’addome superiore senza e con MDC,88.01.02,56,37,12,12,4,4,20,16
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,21,TC dell’addome inferiore,88.01.03,27,12,2,2,4,4,6,6
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,22,TC dell’addome inferiore senza e con MDC,88.01.04,49,30,12,12,3,3,15,13
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,23,TC dell’addome completo,88.01.05,174,118,20,17,11,11,85,79
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,24,TC dell’addome completo senza e con MDC,88.01.06,1048,666,130,121,66,66,438,396
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,25,TC Cranio - encefalo,87.03.00,357,265,44,43,28,28,183,170
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,26,TC Cranio - encefalo senza e con MDC,87.03.01,479,269,56,53,38,38,164,144
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,27,TC del rachide e dello speco vertebrale cervicale,88.38.01,167,122,18,15,21,21,77,74
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,28,TC del rachide e dello speco vertebrale toracico,88.38.01,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,29,TC del rachide e dello speco vertebrale lombosacrale,88.38.01,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,30,TC del rachide e dello speco vertebrale cervicale senza e con MDC,88.38.02,10,9,1,,2,2,6,6
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,31,TC del rachide e dello speco vertebrale toracico senza e con MDC,88.38.02,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,32,TC del rachide e dello speco vertebrale lombosacrale senza e con MDC,88.38.02,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,33,TC di Bacino e articolazioni sacroiliache,88.38.05,20,11,1,1,2,2,7,7
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare",89.31.01,477,329,75,74,26,26,219,206
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC",89.31.02,396,235,72,72,10,9,136,123
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,36,RM di addome inferiore e scavo pelvico,89.35.04,134,110,29,26,10,8,66,66
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,37,RM di addome inferiore e scavo pelvico senza e con MDC,89.35.05,158,71,16,15,4,4,47,45
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,38,RM della colonna in toto,89.33.00,2173,1566,270,249,157,153,1064,945
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,39,RM della colonna in toto senza e con MDC,89.33.01,174,125,45,44,5,5,65,65
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,40,Diagnostica ecografica del capo e del collo,89.11.04,1656,830,123,113,53,53,627,433
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,41,Eco (color) dopplergrafia cardiaca,89.12.03,1389,774,66,65,101,99,584,460
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,42,Eco (color) dopplergrafia dei tronchi sovra aortici,89.13.05,2026,1018,79,65,99,88,824,624
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,43,Ecografia dell’addome superiore,89.14.01,1301,992,104,104,54,54,823,772
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,44,Ecografia dell’addome inferiore,89.15.01,462,313,35,35,25,25,247,226
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,45,Ecografia dell’addome completo,89.16.01,2943,1953,359,359,200,200,1345,1108
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,46,Ecografia bilaterale della mammella,89.13.01,2124,907,119,116,106,105,661,633
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,47,Ecografia monolaterale della mammella,89.13.02,14,5,2,2,,,3,3
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,48,Ecografia ostetrica,89.18.00,494,458,45,45,15,15,393,393
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,49,Ecografia ginecologica,89.18.02,202,171,14,13,16,16,135,130
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,50,Ecocolor doppler degli arti inferiori arterioso e/o venoso,89.17.02,2298,973,116,95,111,90,700,599
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,51,Colonscopia totale con endoscopio flessibile,45.23.00,408,287,50,47,32,29,194,138
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,52,Polipectomia dell’intestino crasso in corso di endoscopia sede unica,45.42.00,180,133,15,15,12,12,104,103
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,53,Rettosigmoidoscopia con endoscopio flessibile,45.24.00,36,32,1,1,5,5,26,24
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,54,Esofagogastroduodenoscopia,45.13.00,485,405,76,74,51,47,265,237
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,55,Esofagogastroduodenoscopia con biopsia in sede unica,45.16.00,383,333,83,78,56,54,185,175
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,56,Elettrocardiogramma,89.52.00,5125,3062,308,297,192,177,2483,1951
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,57,Elettrocardiogramma dinamico (Holter),89.50.00,1189,840,126,103,73,73,629,588
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,58,Test cardiovascolare da sforzo con cicloergometro o con pedana mobile,89.41 - 89.43,979,693,85,69,52,48,546,368
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,59,Altri test cardiovascolari da sforzo,89.44.00,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,60,Esame audiometrico tonale,95.41.01,1225,864,90,83,48,46,719,578
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,61,Spirometria semplice,89.37.01,508,288,38,37,28,24,211,190
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,62,Spirometria globale,89.37.02,172,101,21,21,23,22,55,52
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,63,Fotografia del fundus,95.11.00,9,9,1,1,,,8,8
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,64,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO SUPERIORE. Analisi qualitativa fino a 6 muscoli. Non associabile a 93.09.1 e 93.09.2,93.08.01,2198,1910,155,147,57,41,1679,1639
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,65,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO INFERIORE fino a 4 muscoli. Analisi qualitativa. Non associabile a 93.09.1 e 93.09.2,93.08.01,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,66 - 67,ELETTROMIOGRAFIA SEMPLICE [EMG] DEL CAPO fino a 4 muscoli. Analisi qualitativa. Escluso: EMG dell'occhio (95.25) e POLISONNOGRAFIA (89.17),93.08.01,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,,ELETTROMIOGRAFIA SEMPLICE [EMG] DEL TRONCO. Analisi qualitativa. Fino a 4 muscoli,,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,68,"VALUTAZIONE EMG DINAMICA DEL CAMMINO. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli), associato ad esame basografico per la definizione delle fasi del passo. Non associabile a ANALISI DELLA CINEMATICA E DELLA DINAMICA DEL PASSO (93.05.7)",93.08.01,,,,,,,,
PUGLIA,FOGGIA - 160115,2024,I TRIMESTRE 2024,69,EMG DINAMICA DELL'ARTO SUPERIORE. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli),93.08.01,,,,,,,,
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,1,Prima Visita cardiologica,89.7,5522,2557,607,574,571,260,1251,839
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,2,Prima Visita chirurgia vascolare,89.7,312,237,20,18,43,34,170,137
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,3,Prima Visita endocrinologica,89.7,1102,799,195,185,187,64,358,271
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,4,Prima Visita neurologica,89.13.00,3450,1322,334,308,426,247,494,441
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,5,Prima Visita oculistica,95.02.00,3867,1438,364,347,356,165,625,384
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,6,Prima Visita ortopedica,89.7,2583,1381,184,180,228,174,937,703
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,7,Prima Visita ginecologica,89.26.00,2092,535,174,166,147,94,186,142
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,8,Prima Visita otorinolaringoiatrica,89.7,2854,2102,293,272,318,140,1428,1005
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,9,Prima Visita urologica,89.7,1548,196,5,5,,,189,189
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,10,Prima Visita dermatologica,89.7,3221,1926,366,356,320,118,1198,856
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,11,Prima Visita fisiatrica,89.7,4704,2664,138,134,221,173,2284,2258
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,12,Prima Visita gastroenterologica,89.7,510,438,66,61,64,26,302,273
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,13,Prima Visita oncologica,89.7,657,548,81,81,21,21,435,435
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,14,Prima Visita pneumologica,89.7,1294,942,164,157,165,94,578,518
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,15,Mammografia bilaterale,87.37.01,1283,420,174,171,8,8,231,231
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,16,Mammografia monolaterale,87.37.02,32,17,9,9,,,8,8
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,17,TC del Torace,87.41.00,1123,573,225,216,134,133,172,147
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,18,TC del Torace senza e con MDC,87.41.01,969,624,257,241,186,182,164,143
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,19,TC dell’addome superiore,88.01.01,9,4,,,2,2,2,2
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,20,TC dell’addome superiore senza e con MDC,88.01.02,26,16,6,6,2,2,8,7
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,21,TC dell’addome inferiore,88.01.03,11,4,1,1,,,3,3
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,22,TC dell’addome inferiore senza e con MDC,88.01.04,35,23,9,9,5,5,9,9
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,23,TC dell’addome completo,88.01.05,287,159,50,47,30,30,62,53
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,24,TC dell’addome completo senza e con MDC,88.01.06,1279,833,364,342,206,201,234,209
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,25,TC Cranio - encefalo,87.03.00,854,439,136,131,101,96,137,112
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,26,TC Cranio - encefalo senza e con MDC,87.03.01,371,281,128,121,91,91,53,50
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,27,TC del rachide e dello speco vertebrale cervicale,88.38.01,267,99,30,30,22,22,46,39
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,28,TC del rachide e dello speco vertebrale toracico,88.38.01,,,,,,,,
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,29,TC del rachide e dello speco vertebrale lombosacrale,88.38.01,,,,,,,,
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,30,TC del rachide e dello speco vertebrale cervicale senza e con MDC,88.38.02,16,11,1,1,6,6,4,4
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,31,TC del rachide e dello speco vertebrale toracico senza e con MDC,88.38.02,,,,,,,,
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,32,TC del rachide e dello speco vertebrale lombosacrale senza e con MDC,88.38.02,,,,,,,,
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,33,TC di Bacino e articolazioni sacroiliache,88.38.05,31,18,8,8,2,2,6,6
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare",89.31.01,532,347,84,82,57,57,197,191
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC",89.31.02,437,281,103,88,86,86,75,61
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,36,RM di addome inferiore e scavo pelvico,89.35.04,54,40,6,4,8,8,26,26
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,37,RM di addome inferiore e scavo pelvico senza e con MDC,89.35.05,378,207,101,69,68,59,36,26
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,38,RM della colonna in toto,89.33.00,2340,1566,215,205,273,272,1068,1035
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,39,RM della colonna in toto senza e con MDC,89.33.01,174,124,63,54,40,37,19,15
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,40,Diagnostica ecografica del capo e del collo,89.11.04,1546,820,121,113,180,175,483,352
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,41,Eco (color) dopplergrafia cardiaca,89.12.03,421,272,101,100,34,34,131,116
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,42,Eco (color) dopplergrafia dei tronchi sovra aortici,89.13.05,2600,1083,119,113,267,260,665,583
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,43,Ecografia dell’addome superiore,89.14.01,419,244,63,61,57,56,112,87
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,44,Ecografia dell’addome inferiore,89.15.01,190,91,21,20,18,18,47,37
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,45,Ecografia dell’addome completo,89.16.01,3658,1949,408,389,458,433,998,837
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,46,Ecografia bilaterale della mammella,89.13.01,1399,473,173,168,23,21,271,262
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,47,Ecografia monolaterale della mammella,89.13.02,24,16,13,12,2,2,1,1
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,48,Ecografia ostetrica,89.18.00,463,132,20,20,21,21,89,88
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,49,Ecografia ginecologica,89.18.02,398,120,42,39,44,43,30,12
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,50,Ecocolor doppler degli arti inferiori arterioso e/o venoso,89.17.02,1892,797,158,147,142,135,434,389
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,51,Colonscopia totale con endoscopio flessibile,45.23.00,591,361,154,137,131,98,72,34
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,52,Polipectomia dell’intestino crasso in corso di endoscopia sede unica,45.42.00,13,12,6,6,1,1,,
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,53,Rettosigmoidoscopia con endoscopio flessibile,45.24.00,5,,,,,,,
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,54,Esofagogastroduodenoscopia,45.13.00,904,371,116,110,112,108,133,75
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,55,Esofagogastroduodenoscopia con biopsia in sede unica,45.16.00,102,50,25,23,14,12,10,10
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,56,Elettrocardiogramma,89.52.00,5305,2965,768,735,781,759,1235,854
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,57,Elettrocardiogramma dinamico (Holter),89.50.00,1249,611,125,116,99,92,375,362
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,58,Test cardiovascolare da sforzo con cicloergometro o con pedana mobile,89.41 - 89.43,541,160,20,16,59,57,80,59
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,59,Altri test cardiovascolari da sforzo,89.44.00,,,,,,,,
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,60,Esame audiometrico tonale,95.41.01,1699,823,63,59,117,110,632,481
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,61,Spirometria semplice,89.37.01,986,467,93,87,126,122,237,206
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,62,Spirometria globale,89.37.02,182,89,31,31,24,23,24,23
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,63,Fotografia del fundus,95.11.00,,,,,,,,
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,64,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO SUPERIORE. Analisi qualitativa fino a 6 muscoli. Non associabile a 93.09.1 e 93.09.2,93.08.01,2948,767,5,3,501,500,259,190
PUGLIA,LECCE - 160116,2024,I TRIMESTRE 2024,65,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO INFERIORE fino a 4 muscoli. Analisi qualitativa. Non associabile a 93.09.1 e 93.09.2,93.08.01,,,,,,,,
