"prestazione","classe_priorita","Tempo mediano di attesa(gg)","N. prestazioni prenotate","performance"
"ECOGRAFIA OSTETRICA","D",24,59,"0.78"
"ECOGRAFIA OSTETRICA","P",23,28,"1.00"
"ELETTROCARDIOGRAMMA","B",5,3893,"0.95"
"ELETTROCARDIOGRAMMA","D",11,8275,"0.98"
"ELETTROCARDIOGRAMMA","P",9,2727,"0.99"
"ELETTROCARDIOGRAMMA DINAMICO (HOLTER)","B",8,3284,"0.83"
"ELETTROCARDIOGRAMMA DINAMICO (HOLTER)","D",39,4303,"0.85"
"ELETTROCARDIOGRAMMA DINAMICO (HOLTER)","P",7,36,"0.92"
"ELETTROMIOGRAFIA","B",10,8,"0.62"
"ELETTROMIOGRAFIA","D",10,74,"0.78"
"ELETTROMIOGRAFIA","P",15,67,"0.70"
"ESAME AUDIOMETRICO TONALE","B",6,2173,"0.89"
"ESAME AUDIOMETRICO TONALE","D",14,13004,"0.90"
"ESAME AUDIOMETRICO TONALE","P",60,51,"0.98"
"ESOFAGOGASTRODUODENOSCOPIA","B",9,3287,"0.71"
"ESOFAGOGASTRODUODENOSCOPIA","D",60,9009,"0.50"
"ESOFAGOGASTRODUODENOSCOPIA","P",109,3061,"0.67"
"ESOFAGOGASTRODUODENOSCOPIA CON BIOPSIA IN SEDE UNICA","B",9,254,"0.71"
"ESOFAGOGASTRODUODENOSCOPIA CON BIOPSIA IN SEDE UNICA","D",59,695,"0.55"
"ESOFAGOGASTRODUODENOSCOPIA CON BIOPSIA IN SEDE UNICA","P",49,507,"0.81"
"FOTOGRAFIA DEL FUNDUS","B",5,42,"0.90"
"FOTOGRAFIA DEL FUNDUS","D",61,124,"0.49"
"FOTOGRAFIA DEL FUNDUS","P",31,3,"1.00"
"MAMMOGRAFIA BILATERALE ","B",9,3771,"0.77"
"MAMMOGRAFIA BILATERALE ","D",30,5295,"0.55"
"MAMMOGRAFIA BILATERALE ","P",162,7212,"0.37"
"MAMMOGRAFIA MONOLATERALE","B",0,22,"0.95"
"MAMMOGRAFIA MONOLATERALE","D",0,118,"1.00"
"MAMMOGRAFIA MONOLATERALE","P",1,2,"1.00"
"POLIPECTOMIA INTESTINO CRASSO IN CORSO DI ENDOSCOPIA SEDE UNICA ","B",0,129,"0.99"
"POLIPECTOMIA INTESTINO CRASSO IN CORSO DI ENDOSCOPIA SEDE UNICA ","D",0,238,"1.00"
"POLIPECTOMIA INTESTINO CRASSO IN CORSO DI ENDOSCOPIA SEDE UNICA ","P",0,307,"1.00"
"RETTOSIGMOIDOSCOPIA CON ENDOSCOPIO FLESSIBILE ","D",0,6,"1.00"
"RM DELLA COLONNA IN TOTO","B",8,11975,"0.68"
"RM DELLA COLONNA IN TOTO","D",50,19970,"0.60"
"RM DELLA COLONNA IN TOTO","P",3,44,"0.89"
"RM DELLA COLONNA IN TOTO SENZA E CON MDC ","B",15,1409,"0.30"
"RM DELLA COLONNA IN TOTO SENZA E CON MDC ","D",33,33,"0.52"
"RM DELLA COLONNA IN TOTO SENZA E CON MDC ","P",36,9,"0.78"
"RM DI ADDOME INFERIORE E SCAVO PELVICO ","B",9,467,"0.63"
"RM DI ADDOME INFERIORE E SCAVO PELVICO ","D",44,781,"0.65"
"RM DI ADDOME INFERIORE E SCAVO PELVICO ","P",0,6,"1.00"
"RM DI ADDOME INFERIORE E SCAVO PELVICO SENZA E CON MDC","B",14,1900,"0.35"
"RM DI ADDOME INFERIORE E SCAVO PELVICO SENZA E CON MDC","D",60,1386,"0.50"
"RM DI ADDOME INFERIORE E SCAVO PELVICO SENZA E CON MDC","P",0,17,"0.88"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE","B",10,3130,"0.65"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE","D",57,7105,"0.55"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE","P",94,1105,"0.63"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE SENZA E CON MDC","B",13,1303,"0.37"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE SENZA E CON MDC","D",68,2104,"0.47"
"RM DI ENCEFALO E TRONCO ENCEFALICO, GIUNZIONE CRANIO SPINALE E RELATIVO DISTRETTO VASCOLARE SENZA E CON MDC","P",80,407,"0.65"
"SPIROMETRIA GLOBALE","B",8,1635,"0.87"
"SPIROMETRIA GLOBALE","D",59,5822,"0.54"
"SPIROMETRIA GLOBALE","P",62.5,558,"0.72"
"SPIROMETRIA SEMPLICE ","B",6,910,"0.93"
"SPIROMETRIA SEMPLICE ","D",9,3035,"0.87"
"SPIROMETRIA SEMPLICE ","P",8,495,"0.94"
"TC ADDOME COMPLETO ","B",8.5,748,"0.74"
"TC ADDOME COMPLETO ","D",24.5,944,"0.78"
"TC ADDOME COMPLETO ","P",20,5,"1.00"
"TC ADDOME COMPLETO SENZA E CON MDC","B",10,3366,"0.51"
"TC ADDOME COMPLETO SENZA E CON MDC","D",37,2174,"0.61"
"TC ADDOME COMPLETO SENZA E CON MDC","P",1,31,"0.84"
"TC ADDOME INFERIORE ","B",8,90,"0.84"
"TC ADDOME INFERIORE ","D",40,99,"0.74"
"TC ADDOME INFERIORE SENZA E CON MDC ","B",10,198,"0.52"
"TC ADDOME INFERIORE SENZA E CON MDC ","D",35,165,"0.60"
"TC ADDOME INFERIORE SENZA E CON MDC ","P",0,2,"1.00"
"TC ADDOME SUPERIORE ","B",8,73,"0.81"
"TC ADDOME SUPERIORE ","D",43,100,"0.69"
"TC ADDOME SUPERIORE ","P",161,1,"0.00"
"TC ADDOME SUPERIORE SENZA E CON MDC","B",11,299,"0.50"
"TC ADDOME SUPERIORE SENZA E CON MDC","D",21.5,228,"0.64"
"TC ADDOME SUPERIORE SENZA E CON MDC","P",0,3,"1.00"
"TC CRANIO - ENCEFALO ","B",7,2370,"0.89"
"TC CRANIO - ENCEFALO ","D",36,3135,"0.75"
"TC CRANIO - ENCEFALO ","P",0,9,"1.00"
"TC CRANIO - ENCEFALO SENZA E CON MDC ","B",9.5,58,"0.64"
"TC CRANIO - ENCEFALO SENZA E CON MDC ","D",19,488,"0.75"
"TC CRANIO - ENCEFALO SENZA E CON MDC ","P",0,5,"1.00"
"TC DEL RACHIDE E DELLO SPECO VERTEBRALE ","B",7,1414,"0.86"
"TC DEL RACHIDE E DELLO SPECO VERTEBRALE ","D",23,1563,"0.75"
"TC DEL RACHIDE E DELLO SPECO VERTEBRALE ","P",0,27,"1.00"
"TC DEL RACHIDE E DELLO SPECO VERTEBRALE  SENZA E CON MDC","B",9,52,"0.77"
"TC DEL RACHIDE E DELLO SPECO VERTEBRALE  SENZA E CON MDC","D",81,26,"0.46"
"TC DEL TORACE ","B",9,131,"0.56"
"TC DEL TORACE ","D",33,10080,"0.69"
"TC DEL TORACE ","P",82,41,"0.63"
"TC DEL TORACE SENZA E CON MDC","B",10,2480,"0.53"
"TC DEL TORACE SENZA E CON MDC","D",31,1664,"0.64"
"TC DEL TORACE SENZA E CON MDC","P",8,35,"0.77"
"TC DI BACINO E ARTICOLAZIONI SACROILIACHE ","B",9,269,"0.84"
"TC DI BACINO E ARTICOLAZIONI SACROILIACHE ","D",72,4,"0.25"
"TEST CARDIOVASCOLARE DA SFORZO CON CICLOERGOMETRO O CON PEDANA MOBILE ","B",7,13,"1.00"
"TEST CARDIOVASCOLARE DA SFORZO CON CICLOERGOMETRO O CON PEDANA MOBILE ","D",33,21,"0.86"
"TEST CARDIOVASCOLARE DA SFORZO CON CICLOERGOMETRO O CON PEDANA MOBILE ","P",18,13,"0.92"
