Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/07/2022;17,5;31
Abbadia S.Salvatore;02/07/2022;18,6;30,9
Abbadia S.Salvatore;03/07/2022;21,1;34,1
Abbadia S.Salvatore;04/07/2022;23,2;35,2
Abbadia S.Salvatore;05/07/2022;21,3;31,4
Abbadia S.Salvatore;06/07/2022;19,7;32,7
Abbadia S.Salvatore;07/07/2022;13,8;30
Abbadia S.Salvatore;08/07/2022;13,3;22,6
Abbadia S.Salvatore;09/07/2022;14,1;23,5
Abbadia S.Salvatore;10/07/2022;14,3;26,4
Abbadia S.Salvatore;11/07/2022;16,1;29,7
Abbadia S.Salvatore;12/07/2022;17,1;29,1
Abbadia S.Salvatore;13/07/2022;16,9;28,3
Abbadia S.Salvatore;14/07/2022;17;32,4
Abbadia S.Salvatore;15/07/2022;18,6;31,3
Abbadia S.Salvatore;16/07/2022;18,5;33,8
Abbadia S.Salvatore;17/07/2022;19,6;35,5
Abbadia S.Salvatore;18/07/2022;19,7;32,4
Abbadia S.Salvatore;19/07/2022;19,2;31,1
Abbadia S.Salvatore;20/07/2022;18,2;32,5
Abbadia S.Salvatore;21/07/2022;20,8;32,9
Abbadia S.Salvatore;22/07/2022;21,3;34,7
Abbadia S.Salvatore;23/07/2022;20,5;35,3
Abbadia S.Salvatore;24/07/2022;19,9;34,3
Abbadia S.Salvatore;25/07/2022;19,8;33,2
Abbadia S.Salvatore;26/07/2022;19,5;32,9
Abbadia S.Salvatore;27/07/2022;19,4;31,1
Abbadia S.Salvatore;28/07/2022;18,6;33,2
Abbadia S.Salvatore;29/07/2022;19,1;32,7
Abbadia S.Salvatore;30/07/2022;18;29,2
Abbadia S.Salvatore;31/07/2022;19,2;29,2
Abbazia Trisulti;01/07/2022;20;33,2
Abbazia Trisulti;02/07/2022;20,2;33,9
Abbazia Trisulti;03/07/2022;21,6;34,2
Abbazia Trisulti;04/07/2022;22,2;33,9
Abbazia Trisulti;05/07/2022;21,8;32,9
Abbazia Trisulti;06/07/2022;20,1;33,3
Abbazia Trisulti;07/07/2022;15,6;30,2
Abbazia Trisulti;08/07/2022;13,7;24,6
Abbazia Trisulti;09/07/2022;16,4;26,9
Abbazia Trisulti;10/07/2022;16,1;26,5
Abbazia Trisulti;11/07/2022;15,5;26,1
Abbazia Trisulti;12/07/2022;17,1;28
Abbazia Trisulti;13/07/2022;17,2;27,7
Abbazia Trisulti;14/07/2022;16,1;30,2
Abbazia Trisulti;15/07/2022;18,3;32,1
Abbazia Trisulti;16/07/2022;21,4;32,7
Abbazia Trisulti;17/07/2022;21,9;34,6
Abbazia Trisulti;18/07/2022;17,6;31,3
Abbazia Trisulti;19/07/2022;20,1;31,9
Abbazia Trisulti;20/07/2022;20,2;32,3
Abbazia Trisulti;21/07/2022;21,5;33
Abbazia Trisulti;22/07/2022;22;33,8
Abbazia Trisulti;23/07/2022;22,4;33,9
Abbazia Trisulti;24/07/2022;21,2;33,7
Abbazia Trisulti;25/07/2022;21;33,8
Abbazia Trisulti;26/07/2022;20,2;32,7
Abbazia Trisulti;27/07/2022;19,6;31,1
Abbazia Trisulti;28/07/2022;19,4;30
Abbazia Trisulti;29/07/2022;18;31,9
Abbazia Trisulti;30/07/2022;19;29,3
Abbazia Trisulti;31/07/2022;18,3;29,6
Acquapendente;01/07/2022;11,4;34,2
Acquapendente;02/07/2022;13,4;40,9
Acquapendente;03/07/2022;16,6;43,1
Acquapendente;04/07/2022;17;42,1
Acquapendente;05/07/2022;15,9;40,1
Acquapendente;06/07/2022;14,8;38,9
Acquapendente;07/07/2022;16,4;36,6
Acquapendente;08/07/2022;14,6;30,5
Acquapendente;09/07/2022;15,3;32,7
Acquapendente;10/07/2022;16,8;36,8
Acquapendente;11/07/2022;12,8;34,3
Acquapendente;12/07/2022;15,5;33,9
Acquapendente;13/07/2022;15,1;37,7
Acquapendente;14/07/2022;12,8;37,1
Acquapendente;15/07/2022;16,5;40,4
Acquapendente;16/07/2022;15,4;37,6
Acquapendente;17/07/2022;15,4;38,1
Acquapendente;18/07/2022;18,2;39,2
Acquapendente;19/07/2022;16,9;40,1
Acquapendente;20/07/2022;14,6;41,9
Acquapendente;21/07/2022;16,4;39,6
Acquapendente;22/07/2022;16,5;41,2
Acquapendente;23/07/2022;16,7;38,6
Acquapendente;24/07/2022;17,2;38,6
Acquapendente;25/07/2022;16,3;39,6
Acquapendente;26/07/2022;17,4;40
Acquapendente;27/07/2022;17,6;36,8
Acquapendente;28/07/2022;17;37,4
Acquapendente;29/07/2022;16;36,9
Acquapendente;30/07/2022;19,6;35,7
Acquapendente;31/07/2022;15;38,5
Allumiere;01/07/2022;19,3;32,1
Allumiere;02/07/2022;19,9;31,5
Allumiere;03/07/2022;23,3;35,1
Allumiere;04/07/2022;23,7;34,5
Allumiere;05/07/2022;23,2;33,4
Allumiere;06/07/2022;21,9;33,3
Allumiere;07/07/2022;20,7;30,3
Allumiere;08/07/2022;15,5;26
Allumiere;09/07/2022;17,1;28,4
Allumiere;10/07/2022;16;28,6
Allumiere;11/07/2022;18,6;28
Allumiere;12/07/2022;18;28,4
Allumiere;13/07/2022;18,9;29,5
Allumiere;14/07/2022;18,7;29,7
Allumiere;15/07/2022;20,2;30,9
Allumiere;16/07/2022;20,4;30,4
Allumiere;17/07/2022;21,7;32
Allumiere;18/07/2022;23;35,7
Allumiere;19/07/2022;22,1;33,9
Allumiere;20/07/2022;21,7;32,1
Allumiere;21/07/2022;22,7;32
Allumiere;22/07/2022;23,2;34,1
Allumiere;23/07/2022;22;33
Allumiere;24/07/2022;21;32,8
Allumiere;25/07/2022;22,5;31,5
Allumiere;26/07/2022;22,7;33,6
Allumiere;27/07/2022;21,7;30,9
Allumiere;28/07/2022;20;31,4
Allumiere;29/07/2022;19,1;30,5
Allumiere;30/07/2022;20,5;30,4
Allumiere;31/07/2022;20,7;33
Amatrice;01/07/2022;10,3;35,5
Amatrice;02/07/2022;9,3;32,3
Amatrice;03/07/2022;12,8;33,3
Amatrice;04/07/2022;12,3;35,1
Amatrice;05/07/2022;13,3;34,4
Amatrice;06/07/2022;11,7;32,2
Amatrice;07/07/2022;10,6;31,6
Amatrice;08/07/2022;10;20
Amatrice;09/07/2022;8,1;24,1
Amatrice;10/07/2022;5,3;27,6
Amatrice;11/07/2022;7,2;28,6
Amatrice;12/07/2022;11,2;28,6
Amatrice;13/07/2022;9,7;26
Amatrice;14/07/2022;6,4;31,9
Amatrice;15/07/2022;10,1;35,4
Amatrice;16/07/2022;10,8;35,3
Amatrice;17/07/2022;12,1;33,3
Amatrice;18/07/2022;13,2;33,6
Amatrice;19/07/2022;10,9;31,9
Amatrice;20/07/2022;8,5;33,9
Amatrice;21/07/2022;12,5;35,1
Amatrice;22/07/2022;13,5;36,7
Amatrice;23/07/2022;13,5;37,2
Amatrice;24/07/2022;12,2;36,1
Amatrice;25/07/2022;14,9;34,3
Amatrice;26/07/2022;14,3;34,3
Amatrice;27/07/2022;12,7;34
Amatrice;28/07/2022;10,5;30,9
Amatrice;29/07/2022;13,3;35,1
Amatrice;30/07/2022;14,2;31,5
Amatrice;31/07/2022;10,6;31
Anzio;01/07/2022;23,7;31,6
Anzio;02/07/2022;23,8;30
Anzio;03/07/2022;23,7;31,5
Anzio;04/07/2022;24,3;31,3
Anzio;05/07/2022;23,2;30,3
Anzio;06/07/2022;25;30,6
Anzio;07/07/2022;25,1;30,5
Anzio;08/07/2022;19,3;32,9
Anzio;09/07/2022;21,9;29,1
Anzio;10/07/2022;22,1;28,2
Anzio;11/07/2022;22,3;28,7
Anzio;12/07/2022;23,1;29,5
Anzio;13/07/2022;22,4;28,9
Anzio;14/07/2022;23,1;29,1
Anzio;15/07/2022;24,5;29,8
Anzio;16/07/2022;24,5;29,9
Anzio;17/07/2022;24,3;30,2
Anzio;18/07/2022;24,9;31,8
Anzio;19/07/2022;25,1;31,9
Anzio;20/07/2022;25;31,5
Anzio;21/07/2022;26;31,3
Anzio;22/07/2022;27,2;32,6
Anzio;23/07/2022;26,4;31,9
Anzio;24/07/2022;25,8;31
Anzio;25/07/2022;25,4;31,8
Anzio;26/07/2022;26,2;31,4
Anzio;27/07/2022;26,2;31,4
Anzio;28/07/2022;26,8;30,6
Anzio;29/07/2022;24,5;31,3
Anzio;30/07/2022;24,7;31
Anzio;31/07/2022;24,4;30,9
Aprilia;01/07/2022;22,3;32,9
Aprilia;02/07/2022;22,3;34
Aprilia;03/07/2022;23,6;35,7
Aprilia;04/07/2022;23,3;35,2
Aprilia;05/07/2022;23,2;33
Aprilia;06/07/2022;23,3;33,7
Aprilia;07/07/2022;24;31,5
Aprilia;08/07/2022;17,6;32
Aprilia;09/07/2022;21,2;32
Aprilia;10/07/2022;21,1;29,3
Aprilia;11/07/2022;20,5;30,4
Aprilia;12/07/2022;22,1;30,7
Aprilia;13/07/2022;21,3;30,1
Aprilia;14/07/2022;21,4;30,2
Aprilia;15/07/2022;22,7;31,9
Aprilia;16/07/2022;22,9;32,5
Aprilia;17/07/2022;22,6;34
Aprilia;18/07/2022;24,3;34,4
Aprilia;19/07/2022;25,3;33,3
Aprilia;20/07/2022;24,6;33,8
Aprilia;21/07/2022;23,5;33,7
Aprilia;22/07/2022;24,1;33,9
Aprilia;23/07/2022;22,6;33,6
Aprilia;24/07/2022;24,4;31,8
Aprilia;25/07/2022;24,1;33,7
Aprilia;26/07/2022;24,6;32,8
Aprilia;27/07/2022;24,5;31,8
Aprilia;28/07/2022;24,8;32
Aprilia;29/07/2022;22,6;31,1
Aprilia;30/07/2022;23,4;31,3
Aprilia;31/07/2022;23,3;31,8
Ardea;01/07/2022;13,7;34,7
Ardea;02/07/2022;15;34
Ardea;03/07/2022;16,8;37,2
Ardea;04/07/2022;18,5;36,2
Ardea;05/07/2022;18,5;34,4
Ardea;06/07/2022;16,3;35,4
Ardea;07/07/2022;21,9;33,7
Ardea;08/07/2022;17,3;32,9
Ardea;09/07/2022;20,3;33,2
Ardea;10/07/2022;16,5;30,5
Ardea;11/07/2022;15,8;32,2
Ardea;12/07/2022;16,4;32,4
Ardea;13/07/2022;17,6;32,9
Ardea;14/07/2022;17,1;32,4
Ardea;15/07/2022;18,6;33,3
Ardea;16/07/2022;18,3;35
Ardea;17/07/2022;16,7;34,3
Ardea;18/07/2022;16,5;37,3
Ardea;19/07/2022;18,8;36,8
Ardea;20/07/2022;17,3;35,4
Ardea;21/07/2022;19,9;34,9
Ardea;22/07/2022;21,2;35,8
Ardea;23/07/2022;21,6;34,7
Ardea;24/07/2022;19,4;34,7
Ardea;25/07/2022;19,3;35,2
Ardea;26/07/2022;20,8;35,4
Ardea;27/07/2022;21,7;33,7
Ardea;28/07/2022;20,3;34,6
Ardea;29/07/2022;18,8;34,2
Ardea;30/07/2022;18,9;34,7
Ardea;31/07/2022;19,1;35,1
Arsoli;01/07/2022;16,1;37,4
Arsoli;02/07/2022;16,5;39,6
Arsoli;03/07/2022;18;39,8
Arsoli;04/07/2022;18,3;42,4
Arsoli;05/07/2022;17,9;38,5
Arsoli;06/07/2022;15,8;38,2
Arsoli;07/07/2022;17,7;36,4
Arsoli;08/07/2022;14,7;31
Arsoli;09/07/2022;14,4;34,4
Arsoli;10/07/2022;12,8;34,5
Arsoli;11/07/2022;14,3;34,4
Arsoli;12/07/2022;14,4;35,1
Arsoli;13/07/2022;15,2;35,6
Arsoli;14/07/2022;13,8;35,4
Arsoli;15/07/2022;16,7;38,9
Arsoli;16/07/2022;17,1;37
Arsoli;17/07/2022;17,9;38,9
Arsoli;18/07/2022;18,3;39,1
Arsoli;19/07/2022;16,5;39,2
Arsoli;20/07/2022;18,8;37,6
Arsoli;21/07/2022;19,2;39,6
Arsoli;22/07/2022;18,8;40,1
Arsoli;23/07/2022;18;38,9
Arsoli;24/07/2022;16,9;38,6
Arsoli;25/07/2022;18;38,5
Arsoli;26/07/2022;16,7;38,5
Arsoli;27/07/2022;19,8;36,3
Arsoli;28/07/2022;18,3;35,7
Arsoli;29/07/2022;15,9;37
Arsoli;30/07/2022;17,6;35,3
Arsoli;31/07/2022;16,3;36,6
Baccano;01/07/2022;10,9;34,7
Baccano;02/07/2022;12,9;40,4
Baccano;03/07/2022;18,9;41,6
Baccano;04/07/2022;17,8;39,2
Baccano;05/07/2022;16;39,1
Baccano;06/07/2022;15,6;39,3
Baccano;07/07/2022;18;36,4
Baccano;08/07/2022;16,3;31,1
Baccano;09/07/2022;16,8;34,3
Baccano;10/07/2022;16,8;34
Baccano;11/07/2022;13,4;33,4
Baccano;12/07/2022;14,6;34
Baccano;13/07/2022;17,3;34,3
Baccano;14/07/2022;17,8;35,9
Baccano;15/07/2022;17;37,6
Baccano;16/07/2022;15,8;36,5
Baccano;17/07/2022;15,2;38,6
Baccano;18/07/2022;16,9;39,3
Baccano;19/07/2022;20;40,4
Baccano;20/07/2022;17,6;35,4
Baccano;21/07/2022;17,5;38,5
Baccano;22/07/2022;18,6;39,7
Baccano;23/07/2022;20,7;37,4
Baccano;24/07/2022;19,3;37,1
Baccano;25/07/2022;18,1;38,6
Baccano;26/07/2022;19,2;38,1
Baccano;27/07/2022;20,5;33
Baccano;28/07/2022;18,8;35,3
Baccano;29/07/2022;16,3;36,9
Baccano;30/07/2022;17,6;35,1
Baccano;31/07/2022;20,4;39,8
Bagnoregio;01/07/2022;18;34,2
Bagnoregio;02/07/2022;20,6;37,2
Bagnoregio;03/07/2022;23,9;38,1
Bagnoregio;04/07/2022;24,2;38,5
Bagnoregio;05/07/2022;22,6;36,8
Bagnoregio;06/07/2022;20,9;36,6
Bagnoregio;07/07/2022;16,7;34
Bagnoregio;08/07/2022;15,2;27,8
Bagnoregio;09/07/2022;16,8;30,3
Bagnoregio;10/07/2022;15,5;31,6
Bagnoregio;11/07/2022;16,8;33,4
Bagnoregio;12/07/2022;18,1;33,4
Bagnoregio;13/07/2022;18,8;33,7
Bagnoregio;14/07/2022;18,1;35,1
Bagnoregio;15/07/2022;19,8;36,9
Bagnoregio;16/07/2022;19,1;36
Bagnoregio;17/07/2022;21,2;37,5
Bagnoregio;18/07/2022;22,6;38,8
Bagnoregio;19/07/2022;22,6;37,7
Bagnoregio;20/07/2022;22,4;36,7
Bagnoregio;21/07/2022;20,3;37,6
Bagnoregio;22/07/2022;21,6;38,9
Bagnoregio;23/07/2022;21,5;37,1
Bagnoregio;24/07/2022;21,3;37,7
Bagnoregio;25/07/2022;21,7;37,1
Bagnoregio;26/07/2022;21,2;37
Bagnoregio;27/07/2022;20,3;35
Bagnoregio;28/07/2022;19,2;33,8
Bagnoregio;29/07/2022;19,5;36,3
Bagnoregio;30/07/2022;20,6;32,7
Bagnoregio;31/07/2022;20,6;35,1
Barbarano;01/07/2022;17,6;34,7
Barbarano;02/07/2022;17,9;35,4
Barbarano;03/07/2022;21,6;37
Barbarano;04/07/2022;23,4;37,2
Barbarano;05/07/2022;21,3;34,9
Barbarano;06/07/2022;19,2;35,4
Barbarano;07/07/2022;20,5;33,8
Barbarano;08/07/2022;15,3;27,9
Barbarano;09/07/2022;19;29,4
Barbarano;10/07/2022;17,1;30,1
Barbarano;11/07/2022;16,5;30,8
Barbarano;12/07/2022;17,7;31,2
Barbarano;13/07/2022;18,8;31,9
Barbarano;14/07/2022;18,1;31,5
Barbarano;15/07/2022;18,7;34,3
Barbarano;16/07/2022;19,2;32,9
Barbarano;17/07/2022;19,5;34,7
Barbarano;18/07/2022;21,3;36,1
Barbarano;19/07/2022;20,7;35,8
Barbarano;20/07/2022;20,3;35,6
Barbarano;21/07/2022;19,5;34,8
Barbarano;22/07/2022;21;36,5
Barbarano;23/07/2022;20,3;35,8
Barbarano;24/07/2022;19,3;35,4
Barbarano;25/07/2022;20,8;34,2
Barbarano;26/07/2022;21,2;35,5
Barbarano;27/07/2022;22,5;33,3
Barbarano;28/07/2022;21,2;34,3
Barbarano;29/07/2022;19,5;33,5
Barbarano;30/07/2022;20,3;32,9
Barbarano;31/07/2022;19,3;34,2
Bolsena;01/07/2022;16,7;34,4
Bolsena;02/07/2022;17,9;38,4
Bolsena;03/07/2022;22,1;40,1
Bolsena;04/07/2022;21,5;40
Bolsena;05/07/2022;20,6;39,5
Bolsena;06/07/2022;19,6;38,4
Bolsena;07/07/2022;18,6;34,5
Bolsena;08/07/2022;18,5;28,4
Bolsena;09/07/2022;17,5;30,3
Bolsena;10/07/2022;18,1;32,9
Bolsena;11/07/2022;17;34,3
Bolsena;12/07/2022;17,7;34
Bolsena;13/07/2022;18,9;35,1
Bolsena;14/07/2022;17,1;36
Bolsena;15/07/2022;18,2;37,7
Bolsena;16/07/2022;18,5;36,3
Bolsena;17/07/2022;18,8;38,3
Bolsena;18/07/2022;22,5;38,6
Bolsena;19/07/2022;23,2;36,5
Bolsena;20/07/2022;20,5;38,3
Bolsena;21/07/2022;19;38,7
Bolsena;22/07/2022;20,4;39,8
Bolsena;23/07/2022;19,8;38,1
Bolsena;24/07/2022;20,7;38,6
Bolsena;25/07/2022;19,8;38,4
Bolsena;26/07/2022;20,9;38,2
Bolsena;27/07/2022;21,7;35,7
Bolsena;28/07/2022;21,4;36,4
Bolsena;29/07/2022;19,8;36,7
Bolsena;30/07/2022;21,4;33,8
Bolsena;31/07/2022;21,3;34,7
Borgo Montello;01/07/2022;14,8;36,1
Borgo Montello;02/07/2022;14,7;39,1
Borgo Montello;03/07/2022;17,4;38,5
Borgo Montello;04/07/2022;18,9;39,2
Borgo Montello;05/07/2022;17,3;36,2
Borgo Montello;06/07/2022;16,5;37,3
Borgo Montello;07/07/2022;20,1;35,4
Borgo Montello;08/07/2022;16,2;35,5
Borgo Montello;09/07/2022;18,1;33,5
Borgo Montello;10/07/2022;16,5;33,7
Borgo Montello;11/07/2022;15,4;33,9
Borgo Montello;12/07/2022;16,2;35,1
Borgo Montello;13/07/2022;16,9;33,9
Borgo Montello;14/07/2022;15,5;34,7
Borgo Montello;15/07/2022;17,6;37
Borgo Montello;16/07/2022;17,1;36,3
Borgo Montello;17/07/2022;16,7;38,5
Borgo Montello;18/07/2022;18,1;38,7
Borgo Montello;19/07/2022;19,5;37,4
Borgo Montello;20/07/2022;18,4;36,8
Borgo Montello;21/07/2022;18,5;37,8
Borgo Montello;22/07/2022;20,4;37,3
Borgo Montello;23/07/2022;18,7;38,1
Borgo Montello;24/07/2022;17,1;36,8
Borgo Montello;25/07/2022;18,7;37,1
Borgo Montello;26/07/2022;19,3;36
Borgo Montello;27/07/2022;21,1;35,7
Borgo Montello;28/07/2022;20,4;36,4
Borgo Montello;29/07/2022;18;35,4
Borgo Montello;30/07/2022;18,5;36,1
Borgo Montello;31/07/2022;18,9;35,7
Borgorose;01/07/2022;13,2;31,7
Borgorose;02/07/2022;11,7;32,5
Borgorose;03/07/2022;14,4;33,1
Borgorose;04/07/2022;-;-
Borgorose;05/07/2022;-;-
Borgorose;06/07/2022;-;-
Borgorose;07/07/2022;14,7;30,9
Borgorose;08/07/2022;13,1;23,9
Borgorose;09/07/2022;11,3;28,1
Borgorose;10/07/2022;9,2;27,1
Borgorose;11/07/2022;11,7;28,1
Borgorose;12/07/2022;12,9;27,4
Borgorose;13/07/2022;14,1;28,9
Borgorose;14/07/2022;11,3;33,1
Borgorose;15/07/2022;13,3;33,3
Borgorose;16/07/2022;14,4;32,6
Borgorose;17/07/2022;14,6;34,5
Borgorose;18/07/2022;16,2;32,7
Borgorose;19/07/2022;14,8;33,7
Borgorose;20/07/2022;14,9;33
Borgorose;21/07/2022;15,7;33,2
Borgorose;22/07/2022;16,8;35,4
Borgorose;23/07/2022;17;34,1
Borgorose;24/07/2022;14,1;34,2
Borgorose;25/07/2022;16,1;34
Borgorose;26/07/2022;15,8;32,8
Borgorose;27/07/2022;15;32,2
Borgorose;28/07/2022;14,1;32,9
Borgorose;29/07/2022;14,9;32,6
Borgorose;30/07/2022;15,7;29,8
Borgorose;31/07/2022;15,8;32,7
Bracciano;01/07/2022;21,5;34,4
Bracciano;02/07/2022;20,8;38
Bracciano;03/07/2022;25,4;38
Bracciano;04/07/2022;24,9;38,9
Bracciano;05/07/2022;24,1;35,4
Bracciano;06/07/2022;23,1;36,4
Bracciano;07/07/2022;21,6;32,5
Bracciano;08/07/2022;17,7;29,2
Bracciano;09/07/2022;19,8;30,5
Bracciano;10/07/2022;19,4;30,7
Bracciano;11/07/2022;19,1;32
Bracciano;12/07/2022;19,7;31
Bracciano;13/07/2022;21;30,9
Bracciano;14/07/2022;20,1;32,6
Bracciano;15/07/2022;21,7;35,8
Bracciano;16/07/2022;21,8;34,1
Bracciano;17/07/2022;21,8;35,8
Bracciano;18/07/2022;23,4;37,4
Bracciano;19/07/2022;23,1;37,6
Bracciano;20/07/2022;22,1;35,1
Bracciano;21/07/2022;22,2;37
Bracciano;22/07/2022;23,3;37
Bracciano;23/07/2022;22,8;34,9
Bracciano;24/07/2022;22,6;34,7
Bracciano;25/07/2022;22,8;36,4
Bracciano;26/07/2022;23,5;34,4
Bracciano;27/07/2022;23,6;33,9
Bracciano;28/07/2022;22,2;33,4
Bracciano;29/07/2022;22;33,8
Bracciano;30/07/2022;22,5;33,5
Bracciano;31/07/2022;23,5;36,3
Brusciano;01/07/2022;15,3;28,9
Brusciano;02/07/2022;16,1;29,2
Brusciano;03/07/2022;16,8;29,3
Brusciano;04/07/2022;16,7;28,2
Brusciano;05/07/2022;17,7;27,6
Brusciano;06/07/2022;15,2;27,9
Brusciano;07/07/2022;11,9;26,5
Brusciano;08/07/2022;10,8;17,1
Brusciano;09/07/2022;10,1;20,3
Brusciano;10/07/2022;9,1;23
Brusciano;11/07/2022;12;22,9
Brusciano;12/07/2022;13,9;22,9
Brusciano;13/07/2022;11,6;23,6
Brusciano;14/07/2022;11,6;26,4
Brusciano;15/07/2022;15,8;29,1
Brusciano;16/07/2022;16,6;27,6
Brusciano;17/07/2022;17,1;30,4
Brusciano;18/07/2022;16,2;28,2
Brusciano;19/07/2022;15,7;27,9
Brusciano;20/07/2022;16;28,3
Brusciano;21/07/2022;16,7;27,4
Brusciano;22/07/2022;18;28,9
Brusciano;23/07/2022;18,5;29,5
Brusciano;24/07/2022;17,7;29
Brusciano;25/07/2022;18;28,2
Brusciano;26/07/2022;16,8;27,5
Brusciano;27/07/2022;16,5;28,5
Brusciano;28/07/2022;15,5;29,4
Brusciano;29/07/2022;15,3;28
Brusciano;30/07/2022;15,9;26,4
Brusciano;31/07/2022;14,8;27,4
Campaegli;01/07/2022;16;27,9
Campaegli;02/07/2022;11,9;28,2
Campaegli;03/07/2022;13,4;29,3
Campaegli;04/07/2022;16,7;29,3
Campaegli;05/07/2022;13,9;27,9
Campaegli;06/07/2022;14,7;27,6
Campaegli;07/07/2022;13;25,5
Campaegli;08/07/2022;10,5;18,5
Campaegli;09/07/2022;10,7;20,7
Campaegli;10/07/2022;9,9;21,8
Campaegli;11/07/2022;9,3;23,3
Campaegli;12/07/2022;14,5;24,6
Campaegli;13/07/2022;11,7;24
Campaegli;14/07/2022;9;24,9
Campaegli;15/07/2022;13,9;26,6
Campaegli;16/07/2022;12,9;27
Campaegli;17/07/2022;13,3;28
Campaegli;18/07/2022;13,4;27,3
Campaegli;19/07/2022;13,7;26,9
Campaegli;20/07/2022;13,3;26,5
Campaegli;21/07/2022;12,3;27,8
Campaegli;22/07/2022;16,6;29,5
Campaegli;23/07/2022;13,4;28,6
Campaegli;24/07/2022;13,4;28,2
Campaegli;25/07/2022;13;28,3
Campaegli;26/07/2022;13,1;27,3
Campaegli;27/07/2022;13,9;24,9
Campaegli;28/07/2022;12,5;25,1
Campaegli;29/07/2022;11,1;25,9
Campaegli;30/07/2022;14;23,3
Campaegli;31/07/2022;14;25
Campo di Carne;01/07/2022;16;34,4
Campo di Carne;02/07/2022;18,1;33,6
Campo di Carne;03/07/2022;17,4;36,7
Campo di Carne;04/07/2022;19,2;36,4
Campo di Carne;05/07/2022;18,1;33,9
Campo di Carne;06/07/2022;20,1;35,1
Campo di Carne;07/07/2022;20,8;34,3
Campo di Carne;08/07/2022;16,8;32,3
Campo di Carne;09/07/2022;18,9;30,9
Campo di Carne;10/07/2022;16,8;30,1
Campo di Carne;11/07/2022;17,4;31
Campo di Carne;12/07/2022;20,5;31,4
Campo di Carne;13/07/2022;18,2;31,2
Campo di Carne;14/07/2022;17,6;31,1
Campo di Carne;15/07/2022;21,8;33,3
Campo di Carne;16/07/2022;19,8;33,7
Campo di Carne;17/07/2022;19,4;35,5
Campo di Carne;18/07/2022;20,2;36
Campo di Carne;19/07/2022;21,5;34,7
Campo di Carne;20/07/2022;19,7;34,4
Campo di Carne;21/07/2022;21,4;34,4
Campo di Carne;22/07/2022;22,7;34,9
Campo di Carne;23/07/2022;20,6;34,2
Campo di Carne;24/07/2022;20,3;32,9
Campo di Carne;25/07/2022;20,4;34,6
Campo di Carne;26/07/2022;21,6;33,6
Campo di Carne;27/07/2022;22;32,8
Campo di Carne;28/07/2022;22,4;33,4
Campo di Carne;29/07/2022;20;32
Campo di Carne;30/07/2022;19,9;33,5
Campo di Carne;31/07/2022;20;33,5
Campodimele;01/07/2022;21,4;31,6
Campodimele;02/07/2022;21,4;33,2
Campodimele;03/07/2022;23,8;33,9
Campodimele;04/07/2022;24,5;32,8
Campodimele;05/07/2022;24;31,6
Campodimele;06/07/2022;21,5;31,5
Campodimele;07/07/2022;19,7;28,6
Campodimele;08/07/2022;13,9;26,6
Campodimele;09/07/2022;17,8;26,2
Campodimele;10/07/2022;17,2;26,6
Campodimele;11/07/2022;16,7;28,1
Campodimele;12/07/2022;18,9;29,2
Campodimele;13/07/2022;19;27,9
Campodimele;14/07/2022;19;29,2
Campodimele;15/07/2022;20,7;30,2
Campodimele;16/07/2022;22,5;30,8
Campodimele;17/07/2022;23;33,3
Campodimele;18/07/2022;17,2;33,2
Campodimele;19/07/2022;22,1;31,1
Campodimele;20/07/2022;22,7;31,2
Campodimele;21/07/2022;22,9;31,6
Campodimele;22/07/2022;23;31,2
Campodimele;23/07/2022;23,6;31,3
Campodimele;24/07/2022;23,2;30,9
Campodimele;25/07/2022;21,6;31,1
Campodimele;26/07/2022;21;30,6
Campodimele;27/07/2022;21;29,8
Campodimele;28/07/2022;20,2;30,3
Campodimele;29/07/2022;19,1;29,6
Campodimele;30/07/2022;19,8;29,7
Campodimele;31/07/2022;20,5;28,5
Campoli Appennino;01/07/2022;21,6;33,7
Campoli Appennino;02/07/2022;22,4;33,7
Campoli Appennino;03/07/2022;23,8;35,6
Campoli Appennino;04/07/2022;24;35,8
Campoli Appennino;05/07/2022;23,8;33,4
Campoli Appennino;06/07/2022;21,8;33,1
Campoli Appennino;07/07/2022;15,9;30,8
Campoli Appennino;08/07/2022;15,1;25,2
Campoli Appennino;09/07/2022;18,5;27,1
Campoli Appennino;10/07/2022;17,8;28,3
Campoli Appennino;11/07/2022;17,9;28,3
Campoli Appennino;12/07/2022;19,4;29,4
Campoli Appennino;13/07/2022;19,2;28,7
Campoli Appennino;14/07/2022;18,4;31,2
Campoli Appennino;15/07/2022;20,4;31,8
Campoli Appennino;16/07/2022;21,8;33,4
Campoli Appennino;17/07/2022;22,5;35,9
Campoli Appennino;18/07/2022;22,4;32
Campoli Appennino;19/07/2022;21,7;33,1
Campoli Appennino;20/07/2022;22,7;33,4
Campoli Appennino;21/07/2022;22,5;34,5
Campoli Appennino;22/07/2022;22,5;35,2
Campoli Appennino;23/07/2022;23,2;34,4
Campoli Appennino;24/07/2022;23;34,6
Campoli Appennino;25/07/2022;21,9;34,2
Campoli Appennino;26/07/2022;18,9;32,4
Campoli Appennino;27/07/2022;21;30,7
Campoli Appennino;28/07/2022;20,4;31,4
Campoli Appennino;29/07/2022;20,3;31,2
Campoli Appennino;30/07/2022;19,3;30,3
